model,model_type,dataset,test_rows,passes,non_passes,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
Decision Tree — Without Risk Index,Decision Tree,Without Risk Index,295,236,59,0.8169491525423729,0.6822033898305084,0.8699186991869918,0.9067796610169492,0.8879668049792531,0.7163171502441827
Decision Tree — With Risk Index,Decision Tree,With Risk Index,295,236,59,0.6915254237288135,0.6991525423728813,0.9050279329608939,0.6864406779661016,0.7807228915662651,0.7659077851192186
Random Forest — Without Risk Index,Random Forest,Without Risk Index,295,236,59,0.6915254237288135,0.6991525423728813,0.9050279329608939,0.6864406779661016,0.7807228915662651,0.7591568514794599
Random Forest — With Risk Index,Random Forest,With Risk Index,295,236,59,0.688135593220339,0.6906779661016949,0.9,0.6864406779661016,0.7788461538461539,0.762388681413387
