model,dataset,cv_folds,selection_metric,best_cv_roc_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Tuned Decision Tree,Without Risk Index,5,roc_auc,0.6993855927889994,0.6847457627118644,0.6949152542372881,0.903954802259887,0.6779661016949152,0.774818401937046,0.7557095662166046
Tuned Decision Tree,With Risk Index,5,roc_auc,0.7072376136524223,0.6915254237288135,0.6991525423728813,0.9050279329608939,0.6864406779661016,0.7807228915662651,0.7663746049985636
Tuned Random Forest,Without Risk Index,5,roc_auc,0.7100746689828288,0.6915254237288135,0.6991525423728813,0.9050279329608939,0.6864406779661016,0.7807228915662651,0.7603059465670784
Tuned Random Forest,With Risk Index,5,roc_auc,0.7094615866189542,0.688135593220339,0.6906779661016949,0.9,0.6864406779661016,0.7788461538461539,0.7599468543521977
