Model,Pseudo R²,AIC,BIC,LogLik
Baseline,0.07892795355687465,1364.8519685826686,1380.7371378320565,-679.4259842913343
School Preparation,0.10711840068523892,1331.2627739875977,1368.328168902836,-658.6313869937989
International,0.1094485745716155,1329.8250826746648,1372.185534006366,-656.9125413373324
Risk Index,0.09081254220362833,1345.3187074867533,1355.9088203196786,-670.6593537433766
