SOS Level,#VALUE!,Credit,Distinction,Fail,High Distinction,Other,Pass,Withdraw
Advanced,0.28,20.28,19.72,12.96,17.46,0.0,27.61,1.69
Ext1,0.7,16.2,26.06,8.8,33.1,0.0,14.08,1.06
Ext2,0.95,12.38,24.76,5.71,45.71,0.0,7.62,2.86
Other,0.65,17.62,15.17,19.74,20.88,0.0,24.14,1.79
Standard,1.8,13.51,3.6,45.05,2.7,0.9,25.23,7.21
