Model,Feature Set,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC AUC
Decision Tree,With Risk Index,0.8144796380090498,0.6611707037591112,0.8594164456233422,0.9178470254957507,0.8876712328767123,0.6583855874208231
Random Forest,With Risk Index,0.8144796380090498,0.6527676098927332,0.8556430446194225,0.9235127478753541,0.888283378746594,0.641579399688067
Random Forest,Without Risk Index,0.8235294117647058,0.6206194098736353,0.8411910669975186,0.9603399433427762,0.8968253968253969,0.6229429926472929
Decision Tree,Without Risk Index,0.8235294117647058,0.6206194098736353,0.8411910669975186,0.9603399433427762,0.8968253968253969,0.6168634815545724
