,Odds Ratio,Lower 95%,Upper 95%,P-value
Intercept,6.326,4.693,8.528,0.0
"Q(""Has 35010"")[T.Y]",0.426,0.261,0.696,0.001
"Q(""Previous 33130 Fail"")[T.Y]",0.287,0.173,0.475,0.0
"C(Q(""SOS Level""))[T.Ext1]",1.397,0.862,2.265,0.174
"C(Q(""SOS Level""))[T.Ext2]",1.499,0.731,3.073,0.269
"C(Q(""SOS Level""))[T.Other]",0.559,0.381,0.821,0.003
"C(Q(""SOS Level""))[T.Standard]",0.256,0.151,0.435,0.0
"Q(""International Student"")[T.Y]",1.432,0.976,2.102,0.066
