Model,Pseudo R²,AIC,BIC,LogLik
Baseline,0.07892795355687487,1364.8519685826684,1380.7371378320563,-679.4259842913342
School Preparation,0.10711840068523903,1331.2627739875975,1368.3281689028358,-658.6313869937987
International,0.1094485745716155,1329.8250826746648,1372.185534006366,-656.9125413373324
Risk Index,0.09081254220362855,1345.3187074867528,1355.9088203196782,-670.6593537433764
